,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,track_name,track_duration,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,target,position,chart_date,country,chart_type,chart_trend,song_streams,decade
1432946,5f7VJjfbwm532GiveGC0ZK,Lil Baby,91,13233706,atlhiphop,Drip Too Hard (Lil Baby & Gunna),2.4257,81,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,2018-10-05,1,180,2020-06-01,Canada,top200,MOVE_UP,29691.0,2010s
1086937,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,91,25609800,bigroom,Memories (feat. Kid Cudi),3.50155,65,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,2009-08-21,0,178,2018-12-31,France,top200,NEW_ENTRY,48330.0,2000s
1436992,5f7VJjfbwm532GiveGC0ZK,Lil Baby,91,13233706,atlhiphop,Freestyle,2.700883333333333,81,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,2017-12-01,1,140,2018-05-19,United States,top200,NEW_ENTRY,244286.0,2010s
1437034,5f7VJjfbwm532GiveGC0ZK,Lil Baby,91,13233706,atlhiphop,Pure Cocaine,2.56705,79,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,2018-11-30,1,73,2018-12-01,Canada,top200,MOVE_DOWN,58655.0,2010s
519016,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,91,23107670,conscioushiphop,All The Stars (with SZA),3.8697666666666666,82,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,2018-02-09,1,147,2018-03-01,Argentina,top200,MOVE_DOWN,18666.0,2010s
1088364,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,91,25609800,bigroom,Sexy Bitch (feat. Akon),3.2642166666666665,64,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,2009-08-21,0,188,2017-01-01,Denmark,top200,MOVE_DOWN,5911.0,2000s
1088445,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,91,25609800,bigroom,Where Them Girls At (feat. Nicki Minaj & Flo Rida),3.50155,63,0.664,0.872,3,-3.117,1,0.0396,0.0306,0.0,0.228,0.555,129.873,2011-08-24,0,153,2017-01-01,Denmark,top200,MOVE_DOWN,6847.0,2010s
1437436,5f7VJjfbwm532GiveGC0ZK,Lil Baby,91,13233706,atlhiphop,On Me,2.265983333333333,74,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,2020-12-04,0,136,2021-01-01,Canada,top200,MOVE_DOWN,37726.0,2020s
238863,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,91,46682644,dancepop,Just the Way You Are,3.6789,80,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,2010-10-05,1,178,2018-03-01,Costa Rica,top200,MOVE_UP,2568.0,2010s
237899,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,91,46682644,dancepop,Locked out of Heaven,3.8913,84,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,2012-12-07,1,200,2017-01-02,Colombia,top200,NEW_ENTRY,3164.0,2010s
527933,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,91,23107670,conscioushiphop,HUMBLE.,2.95,81,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,2017-04-14,1,57,2018-03-01,Australia,top200,MOVE_UP,59537.0,2010s
544461,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,91,23107670,conscioushiphop,PRIDE.,4.58755,79,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,2017-04-14,1,146,2018-02-07,Ireland,top200,NEW_ENTRY,4873.0,2010s
241474,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,91,46682644,dancepop,Talking to the Moon,3.6311,78,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,2010-10-05,1,145,2018-05-12,Hong Kong,top200,NEW_ENTRY,2688.0,2010s
245393,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,91,46682644,dancepop,That's What I Like,3.4448833333333333,81,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,2016-11-17,1,177,2017-01-01,Australia,top200,NEW_ENTRY,10556.0,2010s
