,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,track_name,track_duration,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,target,position,chart_date,country,chart_type,chart_trend,song_streams,decade
552768,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,70281704,canadianpop,Love Yourself,3.895333333333333,81,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,2015-11-13,1,116,2017-01-01,Argentina,top200,MOVE_DOWN,21354.0,2010s
559404,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,70281704,canadianpop,Peaches (feat. Daniel Caesar & Giveon),3.30135,81,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,2021-03-19,1,147,2021-10-15,Spain,top200,MOVE_DOWN,52090.0,2020s
1817203,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,92,19854841,pop,Malibu,3.8651,75,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,2017-09-29,1,188,2018-02-01,New Zealand,top200,MOVE_DOWN,5227.0,2010s
574247,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,92,70281704,canadianpop,Hold On,2.846883333333333,72,0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,2021-03-19,0,43,2021-07-01,Australia,top200,SAME_POSITION,65619.0,2020s
812161,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,88315482,dancepop,positions,2.8720666666666665,80,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,2020-10-30,1,113,2021-07-01,Australia,top200,MOVE_DOWN,36989.0,2020s
179528,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,110157382,pop,Shivers,3.4642166666666667,84,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,2021-10-29,1,111,2021-11-01,Argentina,top200,NEW_ENTRY,38489.0,2020s
1311083,6KImCVD70vtIoJWnq6nGn3,Harry Styles,92,26328732,pop,Falling,4.0022166666666665,81,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,2019-12-13,1,82,2020-05-01,Australia,top200,MOVE_DOWN,52323.0,2010s
1302269,6KImCVD70vtIoJWnq6nGn3,Harry Styles,92,26328732,pop,Sign of the Times,5.678433333333333,81,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,2017-05-12,1,190,2018-03-01,Belgium,top200,NEW_ENTRY,3507.0,2010s
1288497,6KImCVD70vtIoJWnq6nGn3,Harry Styles,92,26328732,pop,Adore You,3.4522166666666667,82,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,2019-12-13,1,69,2020-05-01,Argentina,top200,MOVE_DOWN,43237.0,2010s
1269264,6KImCVD70vtIoJWnq6nGn3,Harry Styles,92,26328732,pop,Watermelon Sugar,2.9,85,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,2019-12-13,1,84,2020-05-01,Australia,top200,MOVE_DOWN,51042.0,2010s
967030,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,92,28024332,chicagorap,Bandit (with YoungBoy Never Broke Again),3.1553666666666667,69,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.424,180.056,2019-03-08,0,145,2020-05-01,Australia,top200,MOVE_DOWN,34774.0,2010s
